"author/canMediaTag","author/coverPicture","author/createdAt","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/favouritesCount","author/followers","author/hasCustomTimelines","author/id","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/profilePicture","author/status","author/statusesCount","author/type","author/userName","text","likeCount"
"true","https://pbs.twimg.com/profile_banners/304588450/1705305974","Tue May 24 19:30:07 +0000 2011",,,,,,,,,,,,,,,,"infogram.com","https://infogram.com","0","23","2884","16187","false","304588450","false","false","Everywhere","8452","https://pbs.twimg.com/profile_images/1658855019406405632/q-lKZU2v_normal.jpg","","14004","user","infogram","Sports are more than just wins and losses. 🏆 Our latest blog explores sports journalism and how data visualization is changing the game. 🤩💪

Discover how to take your sports data to the next level: https://t.co/hK27lID4kS","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","RT @FutureofUtils: Shout-out to one of our amazing Bronze Sponsors of #FoUSummit24, Denodo!🎉

Make the most of our networking break and sto…","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","Today! #Denodo is Bronze Sponsor of the @FutureofUtils Summit in the @QEIICentre, London. Visit our booth (20) to meet the team and hear how #energy &amp; #utilities organisations can tackle challenges associated with the changing #data landscape! #FoUSummit24 https://t.co/NIBRHNciIB https://t.co/5epTtnqY4n","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","RT @TradeFlo: Denodo Demo: Next-Gen Data Integration – Exploring Denodo’s Dynamic Data Architectures for Modern Enterprises: Download the s…","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","Today! #Denodo is Silver Sponsor of the @Overheid_360 Congres in Utrecht, Netherlands. Don't miss our session 'Bruggen Bouwen van Ruwe Data naar Strategische Inzichten' by Danny Van Der Wal to the Solar stage at 15:10. Stop by our booth 33! #Overheid360 https://t.co/I90jJgjyxm","1"
"true","https://pbs.twimg.com/profile_banners/500573974/1628006337","Thu Feb 23 08:08:37 +0000 2012","datawrapper.de/careers","http://datawrapper.de/careers","111","134","https://t.co/N0ZiEdv887","datawrapper.de/contact","http://datawrapper.de/contact","137","160","https://t.co/G3MLW5LZEE",,,,,,"datawrapper.de","https://www.datawrapper.de","0","23","6584","27025","true","500573974","false","true","Berlin, Germany","739","https://pbs.twimg.com/profile_images/1422595697619185664/uO6c-Gpw_normal.jpg","","4362","user","Datawrapper","RT @karim_douieb: Thanks @Datawrapper for the mention. I'm thrilled to be part of this Data Vis Dispatch edition! Check out the amazing wor…","0"
"true","https://pbs.twimg.com/profile_banners/500573974/1628006337","Thu Feb 23 08:08:37 +0000 2012","datawrapper.de/careers","http://datawrapper.de/careers","111","134","https://t.co/N0ZiEdv887","datawrapper.de/contact","http://datawrapper.de/contact","137","160","https://t.co/G3MLW5LZEE",,,,,,"datawrapper.de","https://www.datawrapper.de","0","23","6584","27025","true","500573974","false","true","Berlin, Germany","739","https://pbs.twimg.com/profile_images/1422595697619185664/uO6c-Gpw_normal.jpg","","4362","user","Datawrapper","This is happening today! Join to see our product specialist @gsutters live-code (!) with the Datawrapper API: https://t.co/p2v9VGKoHe","7"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","The #CIO’s company, in pursuit of growth, faces to harness the vast ocean of #data. Read this #DataManagement blog by Kevin Bohan from #Denodo to learn the keys offered in a new eBook, Measuring Up: 22 Critical Metrics for #DataDemocratization Excellence https://t.co/EMWyYk6VbQ","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","A #datastrategy that enables organizations to reap the full benefits of data and #analytics initiatives is required. Download this #Denodo whitepaper to understand why the end goal is to provide the business with the data it needs for competitive advantage https://t.co/kGeY7l0bqY","0"
"true","https://pbs.twimg.com/profile_banners/75079616/1619195886","Thu Sep 17 18:30:25 +0000 2009","ifttt.com/join","http://ifttt.com/join","102","125","https://t.co/p9vnrjhyyI","help.ifttt.com","http://help.ifttt.com","139","162","https://t.co/hXsOzH7yNP",,,,,,"lnk.bio/ifttt","https://lnk.bio/ifttt","0","23","5636","153498","true","75079616","false","false","San Francisco, CA","2585","https://pbs.twimg.com/profile_images/1493350091368718337/6v_nbYpO_normal.jpg","","82555","user","IFTTT","Upload your track files to @SoundCloud from your @Dropbox folder. 🎶 https://t.co/TDMVVUImdW","0"
