"author/affiliatesHighlightedLabel/label/url/url","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelType","author/canDm","author/canMediaTag","author/coverPicture","author/createdAt","author/description","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/fastFollowersCount","author/favouritesCount","author/followers","author/following","author/hasCustomTimelines","author/isVerified","author/mediaCount","author/profilePicture","author/status","author/statusesCount","author/twitterUrl","author/type","author/url","text","likeCount"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@mazemoore @Craig_A_Spencer Exactly","802"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@Craig_A_Spencer @XSpaces Answer my question","835"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@alex_avoigt We would be nothing without our fans","2642"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@shaunmmaguire The Biden administration is utterly controlled by the unions at the expense of the American people","2355"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@ryanjaycowan Interesting","744"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@dogeofficialceo 😂","766"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@JTLonsdale Exactly","1402"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@abidlabs 😂","518"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@WholeMarsBlog Yeah","1501"
"https://twitter.com/X","DeepLink","BusinessLabel","false","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","Tue Jun 02 20:12:29 +0000 2009","",,,,,,,,,,,,,,,,,"0","56309","187912195","637","true","true","2261","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","45933","https://twitter.com/elonmusk","user","https://x.com/elonmusk","@darren_stallcup !!","1354"
